x,y,cp,dun
0.985147863,0.001917876,0.163244081,-198317.1987
0.982962913,0.002045223,0.160272242,-199526.0373
0.980630848,0.002180882,0.157348403,-200539.5982
0.978152378,0.002324746,0.154474503,-201838.5072
0.975528258,0.002476672,0.151716933,-202710.5331
0.972759288,0.002636527,0.149029953,-203451.8714
0.96984631,0.002804253,0.146369455,-204384.5541
0.966790213,0.002979834,0.143838446,-205247.4615
0.963591927,0.003163257,0.141228797,-206029.686
0.960252427,0.003354338,0.138737139,-207023.2229
0.956772729,0.003552803,0.136352887,-207648.2163
0.953153894,0.003758382,0.134104577,-208187.2466
0.949397023,0.003970992,0.131848477,-208780.1717
0.945503262,0.004190639,0.129775622,-209448.0268
0.941473796,0.004417327,0.127683163,-210346.8826
0.937309854,0.004650939,0.125668399,-210849.424
0.933012702,0.004891283,0.123754943,-211287.365
0.92858365,0.005138177,0.121857132,-211740.8366
0.924024048,0.005391471,0.120014154,-212335.7196
0.919335284,0.005651029,0.118315582,-212955.2123
0.914518786,0.005916711,0.116639722,-213279.3853
0.909576022,0.006188354,0.114999975,-213722.6548
0.904508497,0.00646578,0.113403403,-214499.6441
0.899317755,0.006748828,0.111995473,-214918.2711
0.894005377,0.007037441,0.110573092,-215259.1236
0.888572981,0.007331615,0.109240086,-215407.0418
0.883022222,0.007631342,0.107891482,-215627.9515
0.87735479,0.007936439,0.106542257,-216172.9999
0.871572413,0.008246662,0.105295289,-216498.4939
0.865676851,0.00856176,0.104058798,-217080.9422
0.8596699,0.008881574,0.102935034,-217438.8148
0.853553391,0.009205971,0.101798538,-217799.8745
0.847329185,0.009534828,0.10070944,-218220.2697
0.84099918,0.009868044,0.099712512,-218600.848
0.834565303,0.010205524,0.098776676,-218592.4493
0.828029514,0.010547181,0.097795558,-218779.8673
0.821393805,0.010892868,0.096790988,-219496.2633
0.814660196,0.011242432,0.095901355,-219772.7492
0.807830738,0.011595716,0.095025281,-219682.1111
0.800907512,0.011952536,0.094138046,-220056.1853
0.793892626,0.012312708,0.093304432,-220462.4733
0.786788218,0.012676036,0.092475,-220798.0643
0.779596452,0.013042356,0.091649173,-221318.3765
0.772319518,0.0134115,0.090904346,-221672.6167
0.764959632,0.013783318,0.090208305,-221751.2253
0.757519037,0.014157715,0.089469917,-222099.8651
0.75,0.014534626,0.088720979,-222517.3784
0.74240481,0.014913949,0.088015077,-222695.0986
0.734735781,0.015295337,0.0872632,-222898.0807
0.72699525,0.015678355,0.086526954,-223205.6366
0.719185573,0.01606259,0.085900861,-223476.082
0.711309131,0.016447987,0.08528169,-223869.643
0.703368322,0.016834613,0.084653799,-224192.8176
0.695365564,0.017222489,0.083961604,-224478.1508
0.687303297,0.017611263,0.083285428,-224886.3751
0.679183975,0.018000434,0.082643105,-225294.037
0.671010072,0.018389557,0.082044748,-225567.2167
0.662784077,0.018778401,0.081452775,-225810.3848
0.654508497,0.019166873,0.080822415,-226252.7848
0.646185852,0.019554822,0.080214414,-226693.1395
0.637818678,0.019941947,0.079621399,-226893.6384
0.629409523,0.020327856,0.07898355,-227194.5675
0.620960948,0.020712169,0.078384361,-227741.4452
0.612475527,0.021094499,0.077813107,-228123.4533
0.603955845,0.021474467,0.077278144,-228286.1097
0.595404498,0.021851693,0.076721082,-228525.3764
0.586824089,0.022225856,0.076134451,-228983.398
0.578217233,0.022596656,0.075626727,-229467.5748
0.56958655,0.02296377,0.075175388,-229805.5843
0.560934672,0.023326793,0.074683774,-230140.4818
