0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.74769,0.75026,0.73368,0.69956,0.67109,0.63942,0.60471,0.57018,0.53158,0.49756,0.46852,0.4383,0.41071,0.38461,0.36063,0.33995,0.31791,0.29945,0.28354,0.26564,0.24898,0.23253,0.21947,0.21171,0.20538,0.20124,0.19868,0.19511,0.19232,0.19166,0.19173,0.1923,0.19321,0.1942,0.19542,0.19689,0.19855,0.2002,0.20166,0.20313,0.20475,0.20647,0.20825,0.20988,0.21126,0.21265,0.21411,0.21554,0.21682,0.21778,0.21844,0.21908,0.21962,0.22005,0.22036,0.22028,0.22001,0.21965,0.21893,0.21848,0.21835,0.21799,0.21785,0.21787,0.21788,0.21861,0.21981,0.22095,0.2225,0.22449,0.22686,0.22975,0.23301,0.23649,0.24061,0.24588,0.25106,0.25658,0.2634,0.2692,0.27456,0.28186,0.2886,0.29383,0.29987,0.30532,0.30908,0.31233,0.31584,0.3198,0.32383,0.32776,0.33262,0.33736,0.34658,0.36028,0.36846,0.45331,0.54377,0.55068
0.71193,0.71909,0.70679,0.66848,0.63265,0.59212,0.54744,0.50446,0.45178,0.40151,0.35469,0.30953,0.27595,0.24144,0.2117,0.19191,0.17072,0.15484,0.1482,0.14176,0.13576,0.13268,0.12961,0.12738,0.12568,0.12323,0.12207,0.122,0.12193,0.12276,0.12385,0.12472,0.12623,0.12778,0.12921,0.13093,0.1327,0.13421,0.13614,0.13805,0.13968,0.14172,0.14393,0.14605,0.14827,0.15055,0.15257,0.15466,0.15705,0.15953,0.16184,0.16381,0.16548,0.16702,0.1686,0.17032,0.17209,0.17373,0.17525,0.17679,0.17845,0.18022,0.18195,0.18347,0.18489,0.18651,0.18825,0.18997,0.1918,0.19358,0.1952,0.19695,0.19867,0.20028,0.20258,0.20511,0.20715,0.20961,0.21246,0.21525,0.21847,0.22176,0.22528,0.22961,0.23369,0.23754,0.24199,0.24573,0.24977,0.25456,0.25834,0.26286,0.27015,0.27808,0.28656,0.31619,0.34479,0.38684,0.49251,0.56112
0.71048,0.71104,0.68562,0.63851,0.59836,0.5554,0.51335,0.47021,0.42082,0.38091,0.34099,0.30041,0.27094,0.24172,0.21432,0.19036,0.16843,0.15493,0.14238,0.12694,0.11601,0.10896,0.10135,0.095395,0.0914,0.088242,0.086612,0.085617,0.084916,0.085094,0.08654,0.088261,0.08948,0.090755,0.092061,0.093194,0.094531,0.095949,0.096863,0.097357,0.097686,0.097851,0.09776,0.097626,0.097478,0.096826,0.096001,0.095289,0.093922,0.092083,0.09105,0.090218,0.088934,0.088181,0.08737,0.086452,0.086498,0.086993,0.087194,0.087925,0.089214,0.090513,0.092148,0.094024,0.095926,0.098367,0.10141,0.10452,0.10793,0.11175,0.11575,0.11998,0.12477,0.1303,0.13591,0.14147,0.14739,0.1532,0.15861,0.16413,0.16969,0.17435,0.17841,0.18316,0.18747,0.19063,0.19479,0.19914,0.20315,0.20817,0.2133,0.21849,0.22656,0.23797,0.24765,0.28458,0.33168,0.36749,0.49563,0.60363
0.68417,0.66894,0.62992,0.58671,0.55398,0.5254,0.4993,0.48198,0.47223,0.4668,0.46295,0.45985,0.45898,0.45993,0.4614,0.46188,0.46116,0.45948,0.45563,0.44816,0.43706,0.42239,0.40074,0.37307,0.34023,0.30576,0.27341,0.23926,0.20384,0.17134,0.13451,0.095998,0.065444,0.034775,0.0030058,-0.020638,-0.04412,-0.070822,-0.089784,-0.10923,-0.13116,-0.14535,-0.15591,-0.16754,-0.17362,-0.17303,-0.17091,-0.16804,-0.16276,-0.1548,-0.14813,-0.14057,-0.13136,-0.12545,-0.12187,-0.11842,-0.11632,-0.11635,-0.11685,-0.11783,-0.11997,-0.1232,-0.12621,-0.13005,-0.13492,-0.13818,-0.14055,-0.14356,-0.14585,-0.14785,-0.15059,-0.15171,-0.15136,-0.15144,-0.15076,-0.14933,-0.1481,-0.14601,-0.14348,-0.14129,-0.13877,-0.13657,-0.13381,-0.12953,-0.1269,-0.1246,-0.12078,-0.11817,-0.11458,-0.1095,-0.10495,-0.098327,-0.08094,-0.061709,-0.039331,0.015511,0.058793,0.1555,0.29667,0.34628
0.30769,0.34078,0.38593,0.41117,0.4303,0.446,0.45952,0.47151,0.48223,0.49224,0.50227,0.51246,0.52239,0.53172,0.53879,0.54178,0.54112,0.53691,0.52634,0.51115,0.49481,0.47383,0.44885,0.42503,0.3977,0.3724,0.3506,0.32707,0.3084,0.29493,0.28448,0.27746,0.27263,0.26821,0.26674,0.26715,0.26794,0.26996,0.27228,0.27422,0.27581,0.27752,0.27911,0.28045,0.28218,0.2835,0.2844,0.28583,0.28738,0.28874,0.28985,0.29103,0.29216,0.29301,0.29412,0.29509,0.29566,0.29626,0.29696,0.29785,0.2988,0.2999,0.30136,0.30294,0.30418,0.3049,0.30643,0.3094,0.31276,0.31597,0.31915,0.32257,0.32635,0.3304,0.3345,0.33858,0.34282,0.34719,0.35155,0.35596,0.36018,0.36433,0.36861,0.37251,0.37651,0.38056,0.3842,0.38808,0.39127,0.39415,0.39752,0.3999,0.40219,0.40805,0.41524,0.42095,0.45721,0.49064,0.54835,0.60825
0.23984,0.26247,0.29627,0.31725,0.33284,0.34508,0.35515,0.36396,0.37188,0.37884,0.38444,0.38884,0.39267,0.39606,0.39809,0.39758,0.39407,0.38618,0.37141,0.35098,0.32438,0.28931,0.25332,0.21719,0.17836,0.14639,0.11817,0.085976,0.055916,0.031436,0.0071317,-0.010647,-0.020064,-0.02834,-0.033557,-0.036695,-0.039835,-0.042106,-0.043882,-0.046188,-0.047714,-0.049075,-0.051121,-0.052677,-0.054837,-0.058239,-0.060568,-0.063055,-0.066589,-0.068944,-0.07183,-0.076461,-0.079173,-0.080961,-0.083556,-0.084952,-0.085693,-0.086878,-0.086957,-0.085677,-0.08425,-0.082794,-0.081411,-0.080195,-0.078866,-0.077549,-0.076374,-0.075243,-0.074549,-0.074414,-0.073984,-0.074289,-0.075176,-0.074824,-0.075547,-0.07727,-0.07702,-0.07746,-0.07878,-0.078808,-0.080077,-0.080268,-0.07891,-0.079812,-0.080029,-0.08076,-0.082095,-0.081209,-0.082866,-0.084409,-0.083289,-0.083588,-0.082667,-0.077173,-0.071386,-0.039591,0.06288,0.13857,0.26205,0.38474
0.79949,0.80073,0.78697,0.7572,0.72755,0.69229,0.65028,0.60086,0.54387,0.49086,0.43631,0.38608,0.34302,0.29796,0.26521,0.23187,0.1976,0.17767,0.15553,0.13469,0.12298,0.11194,0.10274,0.097596,0.092659,0.090186,0.090778,0.09141,0.092341,0.093613,0.095115,0.097169,0.099797,0.10242,0.10484,0.10729,0.11021,0.1134,0.11683,0.12104,0.12585,0.13072,0.13555,0.14048,0.14569,0.15121,0.15695,0.16273,0.16835,0.17365,0.17868,0.18361,0.18834,0.19276,0.19696,0.20086,0.20422,0.20704,0.20945,0.21164,0.21368,0.21551,0.21721,0.21886,0.22054,0.22226,0.22408,0.22615,0.22845,0.23087,0.23334,0.23592,0.23858,0.24134,0.24421,0.24721,0.25038,0.25362,0.25678,0.26002,0.26328,0.26653,0.26996,0.27306,0.27633,0.27985,0.28284,0.28615,0.28919,0.29186,0.29511,0.29751,0.29979,0.30617,0.31616,0.32398,0.37362,0.42448,0.4878,0.54862
0.44558,0.4507,0.45458,0.44849,0.44133,0.43178,0.41818,0.40617,0.39261,0.37819,0.36243,0.34432,0.32659,0.30335,0.27567,0.24778,0.21389,0.17762,0.13972,0.096758,0.056403,0.018205,-0.017382,-0.046053,-0.073012,-0.094947,-0.10764,-0.11859,-0.1291,-0.13532,-0.13842,-0.13988,-0.13984,-0.139,-0.138,-0.13685,-0.13589,-0.13498,-0.13415,-0.1338,-0.13357,-0.1334,-0.13407,-0.13474,-0.13533,-0.13651,-0.13705,-0.13749,-0.13895,-0.13977,-0.13987,-0.14041,-0.14043,-0.14142,-0.14306,-0.14331,-0.1438,-0.14505,-0.14553,-0.14644,-0.14765,-0.14756,-0.14858,-0.15006,-0.15021,-0.15057,-0.1509,-0.15032,-0.15156,-0.15266,-0.15176,-0.15181,-0.1516,-0.15095,-0.15152,-0.15149,-0.15125,-0.15197,-0.1509,-0.15073,-0.15153,-0.14939,-0.1486,-0.14807,-0.14597,-0.14697,-0.14657,-0.14238,-0.13854,-0.1339,-0.12424,-0.11217,-0.10105,-0.070505,-0.038188,0.011644,0.10296,0.16381,0.2889,0.40482
0.84706,0.8403,0.81812,0.78867,0.76579,0.74477,0.72451,0.71016,0.70085,0.69605,0.69241,0.68935,0.68715,0.68365,0.67758,0.66567,0.64663,0.62174,0.58804,0.54805,0.50614,0.46112,0.41821,0.3751,0.33265,0.29905,0.26934,0.24155,0.22094,0.19829,0.17413,0.15891,0.14681,0.13603,0.12698,0.11724,0.10914,0.10488,0.10063,0.095033,0.091321,0.088958,0.086728,0.086056,0.085471,0.085351,0.087348,0.089688,0.091457,0.093755,0.097281,0.10113,0.10468,0.10818,0.11181,0.11553,0.11984,0.12473,0.12926,0.13319,0.13691,0.14034,0.1436,0.14707,0.15056,0.15384,0.1568,0.15966,0.16234,0.16474,0.16726,0.17006,0.17296,0.17588,0.17852,0.18062,0.18279,0.18514,0.18738,0.18995,0.19263,0.19515,0.19795,0.20075,0.20391,0.20753,0.21101,0.21491,0.21886,0.22317,0.22874,0.23534,0.24199,0.25685,0.2757,0.29237,0.33214,0.36442,0.44866,0.53238
0.81565,0.81104,0.79814,0.78211,0.76801,0.75114,0.72846,0.70361,0.67733,0.64936,0.61568,0.57395,0.52565,0.47055,0.41801,0.36373,0.30314,0.25184,0.20549,0.15958,0.12333,0.091912,0.064306,0.045359,0.026973,0.01406,0.010157,0.0074307,0.0068726,0.0091091,0.013253,0.017829,0.024332,0.033447,0.04157,0.050288,0.060953,0.069427,0.074746,0.079129,0.081871,0.081744,0.080304,0.078017,0.074282,0.069166,0.063877,0.057096,0.047562,0.039702,0.033342,0.026193,0.019793,0.013466,0.0065237,0.001318,-0.0024813,-0.0067,-0.0094691,-0.011487,-0.01362,-0.014645,-0.014799,-0.015139,-0.014449,-0.012782,-0.011063,-0.0085841,-0.005534,-0.0023314,0.0013727,0.005476,0.0095967,0.014439,0.019808,0.025205,0.03105,0.037123,0.043088,0.04924,0.055306,0.061355,0.067837,0.073233,0.078515,0.085293,0.090866,0.096392,0.10355,0.10941,0.1157,0.12395,0.13243,0.14123,0.1659,0.19503,0.22303,0.31428,0.38853,0.3906
