TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=4630
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.017224219E+05 3.003352966E+02
 -4.960860908E-01 -1.000000000E+00 1.017224531E+05 3.003353271E+02
 -4.921722114E-01 -1.000000000E+00 1.017224922E+05 3.003353577E+02
 -4.882583022E-01 -1.000000000E+00 1.017224844E+05 3.003353577E+02
 -4.843444228E-01 -1.000000000E+00 1.017223125E+05 3.003352051E+02
 -4.804305136E-01 -1.000000000E+00 1.017221953E+05 3.003351135E+02
 -4.765166342E-01 -1.000000000E+00 1.017222031E+05 3.003351135E+02
 -4.726027250E-01 -1.000000000E+00 1.017222109E+05 3.003351440E+02
 -4.686888456E-01 -1.000000000E+00 1.017220469E+05 3.003349915E+02
 -4.647749364E-01 -1.000000000E+00 1.017218516E+05 3.003348083E+02
 -4.608610570E-01 -1.000000000E+00 1.017217344E+05 3.003347168E+02
 -4.569471478E-01 -1.000000000E+00 1.017217109E+05 3.003347168E+02
 -4.530332685E-01 -1.000000000E+00 1.017215781E+05 3.003345947E+02
 -4.491193593E-01 -1.000000000E+00 1.017213594E+05 3.003344116E+02
 -4.452054799E-01 -1.000000000E+00 1.017211406E+05 3.003341980E+02
 -4.412915707E-01 -1.000000000E+00 1.017210391E+05 3.003341064E+02
 -4.373776913E-01 -1.000000000E+00 1.017209141E+05 3.003340149E+02
 -4.334637821E-01 -1.000000000E+00 1.017206719E+05 3.003338013E+02
 -4.295499027E-01 -1.000000000E+00 1.017204297E+05 3.003336182E+02
 -4.256359935E-01 -1.000000000E+00 1.017201875E+05 3.003334045E+02
 -4.217221141E-01 -1.000000000E+00 1.017200469E+05 3.003332825E+02
 -4.178082049E-01 -1.000000000E+00 1.017197812E+05 3.003330688E+02
 -4.138943255E-01 -1.000000000E+00 1.017195156E+05 3.003328247E+02
 -4.099804163E-01 -1.000000000E+00 1.017192500E+05 3.003326111E+02
 -4.060665369E-01 -1.000000000E+00 1.017189844E+05 3.003323975E+02
 -4.021526277E-01 -1.000000000E+00 1.017186953E+05 3.003321533E+02
 -3.982387483E-01 -1.000000000E+00 1.017183984E+05 3.003319397E+02
 -3.943248391E-01 -1.000000000E+00 1.017181094E+05 3.003316956E+02
 -3.904109597E-01 -1.000000000E+00 1.017176719E+05 3.003313599E+02
 -3.864970505E-01 -1.000000000E+00 1.017173438E+05 3.003311157E+02
 -3.825831711E-01 -1.000000000E+00 1.017170156E+05 3.003308716E+02
 -3.786692619E-01 -1.000000000E+00 1.017166875E+05 3.003305969E+02
 -3.747553825E-01 -1.000000000E+00 1.017161172E+05 3.003301392E+02
 -3.708414733E-01 -1.000000000E+00 1.017157031E+05 3.003298340E+02
 -3.669275939E-01 -1.000000000E+00 1.017153359E+05 3.003295288E+02
 -3.630136847E-01 -1.000000000E+00 1.017149688E+05 3.003292542E+02
 -3.590998054E-01 -1.000000000E+00 1.017142656E+05 3.003286743E+02
 -3.551858962E-01 -1.000000000E+00 1.017137812E+05 3.003282776E+02
 -3.512720168E-01 -1.000000000E+00 1.017133750E+05 3.003279724E+02
 -3.473581076E-01 -1.000000000E+00 1.017128984E+05 3.003275757E+02
 -3.434442282E-01 -1.000000000E+00 1.017121250E+05 3.003269348E+02
 -3.395303190E-01 -1.000000000E+00 1.017115938E+05 3.003265076E+02
 -3.356164396E-01 -1.000000000E+00 1.017111562E+05 3.003261719E+02
 -3.317025304E-01 -1.000000000E+00 1.017105078E+05 3.003256226E+02
 -3.277886510E-01 -1.000000000E+00 1.017097109E+05 3.003249817E+02
 -3.238747418E-01 -1.000000000E+00 1.017091719E+05 3.003245544E+02
 -3.199608624E-01 -1.000000000E+00 1.017086953E+05 3.003241882E+02
 -3.160469532E-01 -1.000000000E+00 1.017078750E+05 3.003234863E+02
 -3.121330738E-01 -1.000000000E+00 1.017070703E+05 3.003228455E+02
 -3.082191646E-01 -1.000000000E+00 1.017065391E+05 3.003224182E+02
 -3.043052852E-01 -1.000000000E+00 1.017058672E+05 3.003218689E+02
 -3.003913760E-01 -1.000000000E+00 1.017050391E+05 3.003211975E+02
 -2.964774966E-01 -1.000000000E+00 1.017042578E+05 3.003205261E+02
 -2.925635874E-01 -1.000000000E+00 1.017037031E+05 3.003200989E+02
 -2.886497080E-01 -1.000000000E+00 1.017028672E+05 3.003193970E+02
 -2.847357988E-01 -1.000000000E+00 1.017020469E+05 3.003186951E+02
 -2.808219194E-01 -1.000000000E+00 1.017013359E+05 3.003181152E+02
 -2.769080102E-01 -1.000000000E+00 1.017005859E+05 3.003174744E+02
 -2.729941308E-01 -1.000000000E+00 1.016997500E+05 3.003167725E+02
 -2.690802217E-01 -1.000000000E+00 1.016989141E+05 3.003161011E+02
 -2.651663423E-01 -1.000000000E+00 1.016981719E+05 3.003154907E+02
